SampleName,Longitude,Latitude
Barboni_a488,-5.518889,42.968889
Barboni_a489,-6.75,42.75
Barboni_a490,-6.9,42.85
Barboni_a491,-3.317222,37.05
Barboni_a492,-3.317222,37.067222
Barboni_a493,-3.317222,37.067222
Barboni_a494,-3.317222,37.067222
Barboni_a495,-3.367222,37.068889
Barboni_a496,-3.4,37.1
Barboni_a497,-3.318889,37.118889
Barboni_a498,-3.318889,37.117222
Barboni_a499,-3.35,37.118889
Barboni_a500,-3.35,37.118889
Barboni_a501,-3.367222,37.118889
Barboni_a502,-5.367222,36.768889
Barboni_a503,-5.318889,36.75
Barboni_a504,-5.267222,36.768889
Barboni_a505,-5.25,36.768889
Barboni_a506,-5.168889,36.817222
Barboni_a507,-4.967222,36.7
Barboni_a508,-4.968889,36.668889
Barboni_a509,-5.068889,36.667222
Barboni_a510,-3.968889,43.418889
Barboni_a511,-3.95,43.418889
Barboni_a512,-3.617222,43.4
Barboni_a513,22.709722,40.515278
Barboni_a514,22.709167,40.516944
Barboni_a515,22.708333,40.519167
Barboni_a516,22.710556,40.519167
Barboni_a517,22.710278,40.535833
Barboni_a518,22.708889,40.556667
Barboni_a519,22.710278,40.591667
Barboni_a520,22.644444,40.731667
Barboni_a521,22.537222,40.735833
Barboni_a522,22.469167,40.753333
Barboni_a523,22.398611,40.751667
Barboni_a524,22.308889,40.673056
Barboni_a525,22.625833,40.883056
Barboni_a526,22.628611,40.878611
Barboni_a527,22.632778,40.876111
Barboni_a528,22.634444,40.870833
Barboni_a529,22.1,40.626944
Barboni_a530,22.070556,40.611944
Barboni_a531,22.069444,40.598333
Barboni_a532,22.065278,40.59
Barboni_a533,22.056667,40.576667
Barboni_a534,22.050278,40.566667
Barboni_a535,22.048056,40.546389
Barboni_a536,22.040556,40.521944
Barboni_a537,22.033889,40.512778
Barboni_a538,22.145,40.546111
Barboni_a539,22.125,40.546389
Barboni_a540,22.158611,40.545
Barboni_a541,22.185,40.536667
Barboni_a542,22.285833,40.398611
Barboni_a543,22.266667,40.415833
Barboni_a544,22.2475,40.421667
Barboni_a545,22.245833,40.4425
Barboni_a546,22.255556,40.464167
Barboni_a547,21.727222,40.79
Barboni_a548,21.777222,40.8125
Barboni_a549,21.894722,40.78
Barboni_a550,21.927222,40.786667
Barboni_a551,21.986944,40.811944
Barboni_a552,22.1475,40.618611
Barboni_a553,22.199167,40.623611
Barboni_a554,22.241389,40.657222
Barboni_a555,22.176389,40.481389
Barboni_a556,22.1525,40.440278
Barboni_a557,22.131667,40.408889
Barboni_a558,22.093889,40.399444
Barboni_a559,22.063333,40.377222
Barboni_a560,22.113611,40.39
Barboni_a561,21.9675,40.375278
Barboni_a562,21.864722,40.370556
Barboni_a563,21.61,40.245556
Barboni_a564,21.485278,40.284167
Barboni_a565,21.464722,40.36
Barboni_a566,21.544722,40.661389
Barboni_a567,21.492222,40.598889
Barboni_a568,21.493889,40.570833
Barboni_a569,21.489167,40.532222
Barboni_a570,21.408333,40.529722
Barboni_a571,21.385278,40.508889
Barboni_a572,21.353333,40.5
Barboni_a573,21.329167,40.547222
Barboni_a574,21.2825,40.763056
Barboni_a575,21.275,40.776944
Barboni_a576,21.238333,40.788056
Barboni_a577,21.217222,40.774722
Barboni_a578,21.208889,40.759444
Barboni_a579,21.188611,40.708889
Barboni_a580,21.180278,40.653056
Barboni_a581,21.1775,40.645278
Barboni_a582,21.192222,40.591667
Barboni_a583,21.444722,40.26
Barboni_a584,21.446111,40.131389
Barboni_a585,21.493333,40.018333
Barboni_a586,21.501944,39.955
Barboni_a587,21.516667,39.898333
Barboni_a588,21.5425,39.8475
Barboni_a589,21.215556,39.726667
Barboni_a590,21.291944,39.684167
Barboni_a591,21.266944,39.721667
Barboni_a592,21.188889,39.725
Barboni_a593,21.185278,39.754444
Barboni_a594,21.038056,39.735833
Barboni_a595,21.118056,39.751944
Barboni_a596,21.1575,39.763333
Barboni_a597,21.165,39.7925
Barboni_a598,21.228889,39.8
Barboni_a599,21.3,39.804167
Barboni_a600,21.328056,39.806667
Barboni_a601,21.450833,39.783889
Barboni_a602,21.475,39.767222
Barboni_a603,21.555833,39.74
Barboni_a604,20.852778,39.504444
Barboni_a605,20.861944,39.492778
Barboni_a606,20.763056,39.706667
Barboni_a607,20.665556,39.745278
Barboni_a608,20.621944,39.751389
Barboni_a609,20.606111,39.682778
Barboni_a610,20.554722,39.611944
Barboni_a611,20.536389,39.591944
Barboni_a612,20.536111,39.5725
Barboni_a613,20.473611,39.535278
Barboni_a614,20.328056,39.535556
Barboni_a615,20.389722,39.496111
Barboni_a616,20.453056,39.52
Barboni_a617,21.005833,39.722778
Barboni_a618,20.973611,39.701667
Barboni_a619,20.937222,39.678056
Barboni_a620,20.776111,39.757778
Barboni_a621,40.26,34.72
Barboni_a622,40.38,34.89
Barboni_a623,40.39,35.07
Barboni_a624,40.595833,35.493056
Barboni_a625,40.57,35.49
Barboni_a626,40.298056,35.416111
Barboni_a627,38.54,34.91
Barboni_a628,38.23,34.47
Barboni_a629,37.97,34.5
Barboni_a630,37.306111,34.580556
Barboni_a631,36.886944,34.646111
Barboni_a632,37.71,34.42
Barboni_a633,37.42,34.32
Barboni_a634,37.198333,34.187778
Barboni_a635,36.96,34
